year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,2,AA,American Airlines Network,SAN,"San Diego, CA: San Diego International",663.00,169.00,52.79,5.01,72.85,0.75,37.60,2.00,1.00,9064.00,4220.00,340.00,2457.00,15.00,2032.00
2025,2,AS,Alaska Airlines Network,SAN,"San Diego, CA: San Diego International",651.00,177.00,37.18,4.48,90.38,1.67,43.30,12.00,4.00,8058.00,2083.00,335.00,3224.00,42.00,2374.00
2025,2,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",104.00,40.00,6.64,1.40,29.99,0.00,1.98,4.00,0.00,1678.00,281.00,127.00,1200.00,0.00,70.00
2025,2,DL,Delta Air Lines Network,SAN,"San Diego, CA: San Diego International",641.00,142.00,36.73,2.48,81.33,0.00,21.46,0.00,1.00,7194.00,2438.00,139.00,3076.00,0.00,1541.00
2025,2,F9,Frontier Airlines,SAN,"San Diego, CA: San Diego International",197.00,46.00,10.72,2.76,14.25,0.00,18.27,1.00,1.00,3681.00,1140.00,545.00,629.00,0.00,1367.00
2025,2,G4,Allegiant Air,SAN,"San Diego, CA: San Diego International",8.00,4.00,0.33,1.29,2.37,0.00,0.00,0.00,0.00,297.00,13.00,111.00,173.00,0.00,0.00
2025,2,HA,Hawaiian Airlines Network,SAN,"San Diego, CA: San Diego International",56.00,15.00,9.47,1.96,0.00,0.00,3.57,0.00,1.00,545.00,299.00,38.00,0.00,0.00,208.00
2025,2,NK,Spirit Airlines,SAN,"San Diego, CA: San Diego International",135.00,27.00,3.61,0.05,17.36,0.00,5.97,1.00,0.00,1539.00,155.00,5.00,993.00,0.00,386.00
2025,2,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",1014.00,299.00,133.92,22.10,69.62,0.00,73.36,26.00,0.00,16885.00,6099.00,1883.00,4624.00,0.00,4279.00
2025,2,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",167.00,69.00,9.41,0.13,25.60,0.00,33.86,3.00,0.00,3940.00,460.00,11.00,1252.00,0.00,2217.00
2025,2,UA,United Air Lines Network,SAN,"San Diego, CA: San Diego International",728.00,146.00,42.00,6.20,74.21,0.00,23.59,1.00,0.00,7517.00,2205.00,610.00,2824.00,0.00,1878.00
2025,2,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2409.00,467.00,116.47,8.31,129.29,0.91,212.02,13.00,3.00,23667.00,5668.00,434.00,5117.00,48.00,12400.00
2025,1,G4,Allegiant Air,SAN,"San Diego, CA: San Diego International",9.00,1.00,0.35,0.00,0.65,0.00,0.00,0.00,0.00,43.00,15.00,0.00,28.00,0.00,0.00
2025,1,HA,Hawaiian Airlines Network,SAN,"San Diego, CA: San Diego International",62.00,24.00,20.72,1.22,0.00,0.00,2.07,0.00,1.00,1144.00,896.00,74.00,0.00,0.00,174.00
2025,1,NK,Spirit Airlines,SAN,"San Diego, CA: San Diego International",177.00,21.00,3.88,0.00,11.01,0.00,6.12,3.00,0.00,1631.00,118.00,0.00,852.00,0.00,661.00
2025,1,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",1128.00,251.00,89.06,29.29,48.61,0.00,84.04,20.00,4.00,16243.00,4187.00,3650.00,2563.00,0.00,5843.00
2025,1,AA,American Airlines Network,SAN,"San Diego, CA: San Diego International",720.00,161.00,52.14,7.32,59.49,0.26,41.79,20.00,8.00,9936.00,3026.00,1177.00,2947.00,8.00,2778.00
2025,1,AS,Alaska Airlines Network,SAN,"San Diego, CA: San Diego International",738.00,146.00,39.67,6.40,61.57,3.81,34.54,10.00,5.00,7552.00,2543.00,527.00,2421.00,137.00,1924.00
2025,1,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",123.00,20.00,7.12,0.96,11.86,0.00,0.06,0.00,1.00,764.00,270.00,47.00,443.00,0.00,4.00
2025,1,DL,Delta Air Lines Network,SAN,"San Diego, CA: San Diego International",705.00,124.00,37.32,10.21,49.97,0.00,26.50,6.00,7.00,8837.00,2297.00,1607.00,3171.00,0.00,1762.00
2025,1,F9,Frontier Airlines,SAN,"San Diego, CA: San Diego International",212.00,40.00,8.29,1.05,11.80,0.00,18.86,2.00,3.00,2983.00,602.00,38.00,899.00,0.00,1444.00
2025,1,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",173.00,42.00,8.00,1.15,7.11,0.00,25.75,2.00,0.00,2095.00,319.00,100.00,335.00,0.00,1341.00
2025,1,UA,United Air Lines Network,SAN,"San Diego, CA: San Diego International",794.00,117.00,38.53,8.50,40.90,0.00,29.07,8.00,9.00,7031.00,1731.00,1036.00,2116.00,0.00,2148.00
2025,1,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2521.00,396.00,122.20,8.49,80.63,0.30,184.39,41.00,14.00,21291.00,6401.00,824.00,4248.00,14.00,9804.00
2024,12,NK,Spirit Airlines,SAN,"San Diego, CA: San Diego International",185.00,46.00,9.03,0.00,29.30,0.00,7.67,4.00,1.00,3181.00,706.00,0.00,1836.00,0.00,639.00
2024,12,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",1162.00,384.00,115.26,52.27,96.27,0.00,120.21,51.00,16.00,27024.00,6464.00,5965.00,6996.00,0.00,7599.00
2024,12,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",58.00,21.00,3.87,0.63,10.23,0.00,6.28,1.00,0.00,1276.00,255.00,24.00,597.00,0.00,400.00
2024,12,UA,United Air Lines Network,SAN,"San Diego, CA: San Diego International",880.00,188.00,52.50,12.28,66.60,0.00,56.62,7.00,17.00,15823.00,2817.00,4353.00,3561.00,0.00,5092.00
2024,12,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2835.00,734.00,174.66,22.79,250.41,0.00,286.14,89.00,57.00,52016.00,10637.00,3393.00,18708.00,0.00,19278.00
2024,12,AA,American Airlines Network,SAN,"San Diego, CA: San Diego International",805.00,212.00,59.81,9.48,75.40,0.00,67.30,12.00,19.00,20460.00,4792.00,3410.00,3602.00,0.00,8656.00
2024,12,AS,Alaska Airlines Network,SAN,"San Diego, CA: San Diego International",955.00,272.00,40.75,18.84,118.76,3.35,90.31,19.00,20.00,17177.00,2617.00,1995.00,5136.00,189.00,7240.00
2024,12,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",133.00,28.00,8.00,0.78,14.52,0.00,4.71,1.00,4.00,1355.00,575.00,31.00,524.00,0.00,225.00
2024,12,DL,Delta Air Lines Network,SAN,"San Diego, CA: San Diego International",819.00,182.00,61.20,1.07,86.17,0.00,33.56,4.00,22.00,12439.00,4386.00,42.00,6206.00,0.00,1805.00
2024,12,F9,Frontier Airlines,SAN,"San Diego, CA: San Diego International",233.00,49.00,6.01,3.66,19.07,0.00,20.26,6.00,4.00,5162.00,983.00,671.00,1751.00,0.00,1757.00
2024,12,G4,Allegiant Air,SAN,"San Diego, CA: San Diego International",8.00,3.00,1.89,0.00,1.11,0.00,0.00,0.00,0.00,508.00,489.00,0.00,19.00,0.00,0.00
2024,12,HA,Hawaiian Airlines Network,SAN,"San Diego, CA: San Diego International",62.00,21.00,16.91,0.48,0.00,0.73,2.89,1.00,0.00,964.00,820.00,38.00,0.00,16.00,90.00
2024,11,AA,American Airlines Network,SAN,"San Diego, CA: San Diego International",748.00,140.00,38.22,4.79,52.80,0.00,44.19,4.00,0.00,9072.00,3754.00,274.00,2078.00,0.00,2966.00
2024,11,AS,Alaska Airlines Network,SAN,"San Diego, CA: San Diego International",873.00,203.00,34.15,0.16,126.42,1.21,41.06,3.00,2.00,9942.00,2459.00,11.00,4829.00,42.00,2601.00
2024,11,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",134.00,24.00,6.88,0.00,13.78,0.00,3.33,0.00,1.00,956.00,398.00,0.00,458.00,0.00,100.00
2024,11,DL,Delta Air Lines Network,SAN,"San Diego, CA: San Diego International",790.00,129.00,49.46,0.00,68.28,0.00,11.26,0.00,0.00,5205.00,2872.00,0.00,2034.00,0.00,299.00
2024,11,F9,Frontier Airlines,SAN,"San Diego, CA: San Diego International",297.00,93.00,15.33,1.00,34.84,0.00,41.83,1.00,0.00,6970.00,884.00,128.00,1741.00,0.00,4217.00
2024,11,G4,Allegiant Air,SAN,"San Diego, CA: San Diego International",9.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,142.00,49.00,0.00,93.00,0.00,0.00
